permitnumber,address,typeofwork,approvedscopeofwork,permitissuedate,lng,lat
EP-2023-001921,1035 S ITHAN ST,Addition and/or Alteration,"Install100 AMP svc and Panel -32 Space Panel
Install Carbon Monoxide Detector
Install Arc Circuit Breakers
Install Ground Fault Rec and dedicated Circuit -1st Fl
Install Ground Fault Rec and dedicated Circuit - 2nd Fl
Install Bathroom Wall Fixture
New Receptacle Circuit 2nd Floor(20 AMPS)
Install Porcelain Fixture w/ Pull Chain
Replace Dining Room Fixture
Fishing Wires through walls per NEC 17",2023-03-01 05:00:00+00,-75.23467650048555,39.94483465100244
EP-2025-000662,3048 W LEHIGH AVE,Addition and/or Alteration,"Installation of 100A service w/ 30 circuit panel, receptacles, fixtures, smoke alarms.

Fishing wire through walls only",2025-01-28 05:00:00+00,-75.1817139197729,39.99724002052626
EP-2022-001502,7322 KINGLET PL,Addition and/or Alteration,Install 200 amp service w/ 40 circuit panel.  Fishing wire through walls nec 2014 code,2022-02-17 05:00:00+00,-75.23878104952587,39.91015730110755
PP-2025-015315,5314 LOCUST ST,Alterations,REPLACE 50 GAL GAS WATER HEATER,2025-11-26 05:00:00+00,-75.22829737945415,39.95591874130895
PP-2025-015126,1328 S MOLE ST,Alterations,REPLACE 40GAL GAS WATER HEATER.,2025-11-21 05:00:00+00,-75.17062864953806,39.93385581087951
PP-2022-013154,1100 UNRUH AVE,Alterations, Curb Trap FAI,2022-09-08 04:00:00+00,-75.0810177002516,40.04685090052248
PP-2025-002857,1531 OVERINGTON ST,Alterations,Replacement of 30 Gal gas water heater,2025-03-04 05:00:00+00,-75.08522474004468,40.01620203086719
PP-2021-010768,1207 PETERS ST,Alterations,Replacement of 40 gallon gas water heater,2021-06-17 04:00:00+00,-75.16377209054264,39.936695631017606
PP-2022-005010,6045 SUMMERDALE AVE,Alterations,Replacement of 30 Gal gas water heater AS PER PPC 2018,2022-04-07 04:00:00+00,-75.0857688901288,40.037840381119764
PP-2023-005942,9656 BIRWOOD ST,Alterations,"REPAIR/REPLACE 40' OF SEWER LINE, CT & FAI",2023-05-05 04:00:00+00,-75.03130936994381,40.08780859081309
PP-2024-015748,202 FARISTON DR,Alterations,Replacement of 50 gal gas water heater,2024-11-18 05:00:00+00,-75.11446554971685,40.047610330486464
PP-2025-012194,7809 LORNA DR,Alterations,Replace 40 Gal Gas Water Heater,2025-09-24 04:00:00+00,-75.07058559975867,40.06346471070278
PP-2022-016636,3827 ELSINORE ST,Alterations,Replacement of 40 Gal Gas water heater,2022-11-17 05:00:00+00,-75.10770265036389,40.00611926114815
PP-2023-009674,111 W CHAMPLOST AVE,Alterations,Replacement of 40 gal gas water heater,2023-07-18 04:00:00+00,-75.12092334961103,40.04170197116336
PP-2024-013374,5738 HARBISON AVE,Alterations,Replacement of 40 gal Gas water heater,2024-10-01 04:00:00+00,-75.06440287021273,40.01828158092972
PP-2020-015072,3221 ARAMINGO AVE,Alterations,"Replace Curb trap, Fai and partial Main Drain.  Replace Laundry tub PPC 2018",2020-12-09 05:00:00+00,-75.10548070031174,39.988716180967934
PP-2025-011424,6943 CEDAR PARK AVE,Alterations,"REPLACING STORM AND SANITARY CURB TRAPS AND FAIS
REPLACING PARTIAL MAIN DRAIN 
REPLACING RAINLEADER ",2025-09-10 04:00:00+00,-75.15227827964242,40.059959111181904
PP-2022-008010,1908 S BEECHWOOD ST,Alterations,REPLACE CURB TRAP FRESH AIR INLET AND PARTIAL MAIN DRAIN,2022-05-23 04:00:00+00,-75.18185132023731,39.928185520726586
PP-2022-017116,530 N PAXON ST,Alterations,"REPLACE UNDERFLOOR PLUMBING IN BATHROOM, REPLACE CURB TRAP FRESH AIR INLET",2022-11-30 05:00:00+00,-75.22410646977188,39.96898648100242
EP-2024-010324,763 S 20TH ST,Addition and/or Alteration,"763 S 20th Street Upgrade Wiring: Throughout the entire property as per attached revised change order.

This is what that work intel. Installation of 100 amp service, installation of branch wiring for 40 receptacles, 20 light fixtures, 16 switches and smoke detectors for this 3 story row home. This will be done through the fishing method from the first floor of the house to get throughout the house.",2024-12-02 05:00:00+00,-75.17539362035933,39.942352450655335
EP-2024-009611,571 HERMAN ST,Addition and/or Alteration,"(10) REPLACE SW'S, (10) REPLACE RECPT'S, WIREMOLD, (4) BSMT LGTS, (3) NEW RECPT, CIR, AF, 2ND FLR, (2) EXT LGT FIX'S, (2) 3 WAY SW'S, DOORBELL, (1) INSTALL BDRM FIX, (1) GFCI DED. LINE TO BATHRM, (1) BSMT/1ST FLR, AF, 20A CIR, 100A SVC, 32 SPC PANEL. ALL LINES WILL BE FISHED OR IN WIRE MOLD.",2024-10-03 04:00:00+00,-75.17126121973662,40.04904474094682
EP-2025-004936,4331 LONGSHORE AVE,Addition and/or Alteration,"REPLACE WIRING(RAN OUTSIDE OF JOIST IN BSMT), WIREMOLD, (10) REPLACE UNGRD RECEPTS, (6) REPAIR JUNCTION BXS, (5) REPLACE SW'S, (5) INSTALL FLUSH LED FIX'S IN BSMT, (3) REPAIR JUNCTION BX'S, (2) REPLACE EXT LIGHT FIX'S, (2) NEW RECPT & CIR AF 2ND FLR, (2) NEW RECPT & CIR AF BSMT/1ST FLR, (2) GFCI RECPT'S, (2) 15A RECPT'S, (1) INSTALL EXT FIXTURE, (1) INSTALL GFCI & DED CIR 1ST FLR BATHRM, 200A SVC, 40 SPC PANEL. WIRING WILL BE IN WIRE MOLD ARE FISHED.",2025-05-22 04:00:00+00,-75.04556282940167,40.029406251253654
EP-2024-006453,1427 N 61ST ST,Addition and/or Alteration,"100A SVC, 32 SPACE PANEL, (2) REPLACE 3-WAY SWITCH, (2) GRD FLT DED CIR. 1ST FLR, (1) EXT FIX W/MOTION DET, (2) SMK DET, (1) COMBO SMK/CARBON, RELOCATE CEILING FAN, REPLACE BDRM FIX (SHED), REPLACE BDRM FIX (MID BDRM), (7) REPLACE SW'S, (4) NEW RECPTCL & CIRCUIT 1ST FLR, (7) REPLACE RECPTS. ALL WIRING WILL BE FISHED OR IN WIRE MOLD. ",2024-07-08 04:00:00+00,-75.24108393947073,39.97340169049404
FP-2022-003162,2001 BEACH ST,New Construction,"FOR THE INSTALLATION OF AN NFPA 13R FIRE SUPRESSION SYSTEM SERVICED BY A TWO INCH PRIVATE FIRE SERVICE LINE CONNECTED TO A PREVIOUSLY APPROVED 4"" SERVICE LINE CONNECTED TO  6"" PRIVATE MAIN WITH A FIRE PUMP AND  WILKENS 350 BACK FLOW PREVENTER ASSEMBLY LOCATED WITHIN A METER PIT AS PER APPROVED PLANS  FP-2020-000201  FOR SITE WORK, PUMP, BACKFLOW PREVENTION ASSEMBLY AND MAINS.    ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. FIRE SUPPRESSION SYSTEM TO BE INSTALLED IN ACCORDANCE WITH NFPA 13R STANDARD.",2023-02-08 05:00:00+00,-75.11693210992816,39.971272101012175
FP-2021-000669,7048 GERMANTOWN AVE,New Construction,"INSTALL NEW FIRE SUPPRESSION SYSTEM AND 1"" COMBINED SERVICE IN ACCORDANCE WITH NFPA 13D THROUGHOUT THE ENTIRE BUILDING. ALL WORK SHALL COMPLY WITH THE APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2021-07-19 04:00:00+00,-75.18952620972796,40.057536390834436
EP-2022-011554,5051 PARRISH ST,Addition and/or Alteration,"Total rewire including all interior electric
service entrance electric and including a 100 amp service 
fishing of walls
smoke and carbon / smoke combo detectors
no low voltage wiring
AS PER NEC 2014",2022-11-14 05:00:00+00,-75.22196349954382,39.96710883078692
MP-2024-003980,160 TIBER ST,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

New 80% 60K BTU air handler, 2 ton AC, ductwork, and diffusers,10 supply hits 1 return hit",2024-11-09 05:00:00+00,-75.12668173947769,40.02118883112978
EP-2021-003866,4529 N 12TH ST,Addition and/or Alteration,install of 200 amp service and meter socket and full interior rewire throughout house as per 2014 nec,2021-04-16 04:00:00+00,-75.14433518940727,40.021864371337635
MP-2023-004034,1609 ELLSWORTH ST,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

MULTI FAMILY - EACH HVAC UNIT TO BE SELF-CONTAINED WITHIN EACH DWELLING UNIT. NO PENETRATIONS OF RATED ASSEMBLIES.

Install (2) 70K btu furnaces, (2) 2-1/2 ton AC units, ductwork, and 16 registers.",2023-09-22 04:00:00+00,-75.17057260959412,39.93745798073057
EP-2024-009931,405 W WINGOHOCKING ST,Addition and/or Alteration,"Install 3 lights in bathroom
Install 3 smoke detectors w/ 10 year battery
Install GFCI 2nd floor bathroom
New receptacle on 2nd floor
New wiring fishing only
Install new 100 amp service complete",2024-10-11 04:00:00+00,-75.13251238977178,40.01961659059951
EP-2025-008369,2542 W SILVER ST,Addition and/or Alteration,"100-amp service complete
Electric wall heater install
GFCI and circuit 2nd floor
AFCI circuit and receptacle 2nd floor
3-bathroom light fixtures
3 combo detectors w/ 10-year sealed batteries",2025-09-02 04:00:00+00,-75.1733137395612,39.99709153056086
RP-2020-005734,706 LATONA ST,New Construction (Stand Alone),"FOR THE CONSTRUCTION OF AN ATTACHED STRUCTURE WITH ROOF DECK ACCESSES BY A ROOF DECK ACCESS STRUCTURE. FOR A SINGLE FAMILY HOUSEHOLD LIVING WITH ACCESSORY PARKING FOR TWO. AS PER PLANS.
AMENDMENT: Change of Special Inspector -Geo-Structures ",2020-09-21 04:00:00+00,-75.15656207962547,39.93319863110503
PP-2022-017884,5047 WALNUT ST,Alterations,"Replace 5"" cast iron cast iron curb trap, install a new 4"" cast iron FAI",2022-12-13 05:00:00+00,-75.22309662975474,39.95693732080767
PP-2025-013109,1516 S 15TH ST,Alterations,"REPAIR/REPLACE CT, FAI & MD.",2025-10-14 04:00:00+00,-75.17008010030504,39.9315422713223
PP-2021-017234,5005 TACOMA ST,Alterations,"Install a new 3/4"" K copper water service from main to the meter",2021-09-21 04:00:00+00,-75.16809504990566,40.0251830107214
PP-2024-009373,12100 ELMORE RD,Alterations,"Replace curb traps, install new FAIs",2024-07-09 04:00:00+00,-74.97528002012669,40.08799499075907
PP-2025-012687,3615 W EARLHAM ST,Alterations,"Replace curb traps, install new FAIs",2025-10-01 04:00:00+00,-75.19749371004556,40.01369834062808
MP-2020-005921,2500 E TIOGA ST,New Construction,FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO (2) FAMILY HOUSEHOLD LIVING. BUILDING TO BE SPRINKERED IN ACCORDANCE WITH MINIMUM 13D SYSTEM.  PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.TOWNHOUSE #27- TYPE 2A,2021-01-19 05:00:00+00,-75.09823219002979,39.990061931241826
EP-2023-003988,2771-73 JASPER ST,Addition and/or Alteration,"200amp 40ckt Homeline Service x1

100 amp breaker x1 

20 amp circuits x4

Quad outlets x4

Light switch x4

3-way system x1

GFCI outlet x1

FISH ONLY PER 2017",2023-05-02 04:00:00+00,-75.12173758005503,39.989904071123114
EP-2025-000584,113-21 BAINBRIDGE ST,Addition and/or Alteration,INSTALL A 50 AMP CABLE TO GARAGE AND INSTALL EVC STATION ACCORDING TO THE 2017 NEC..,2025-01-23 05:00:00+00,-75.14492417010243,39.94032217116128
EP-2020-009890,4821 LARCHWOOD AVE,Addition and/or Alteration,"9 -15 Amp AFCI Circuit Includes and arc fault protected branch circuit to power devices, lights, and switches
5 - 20 Amp AFCI Circuit Includes and arc fault protected branch circuit to power devices, lights, and switches

16 - 15 amp Duplex Includes the Duplex style outlet, wiring,  box, and cover.
Outlets will be flush mounted into the hollow plaster walls and avoid solid walls where possible otherwise wiremold conduit will be installed on the surface. 
1 - Outdoor gfci update:
Replacement of Weather rated GFCI outlet in existing location and replacement of suitable weather rated cover appropriate for the application. -Rear exterior
6 - Necessary gfci/afci update
Replace a tamper-resistant AFCI/GFCI outlet and cover plate for indoor application.
-Kitchen x 5(properly splice neutrals and pigtail onto device.   Install deeper wiremold box if necessary)
-Laundry x 1
3 - 20 amp Duplex Includes the Duplex style outlet, wiring,  box, and cover
1 - 15 amp GFCI Includes the GFCI outlet, wiring, box, and weatherproof cover.
1 - 20 amp GFCI Includes the GFCI outlet NEMA 5-15R, wiring, box, and cover plate.

11 - Light Switch ( One Location) Includes a toggle switch, wiring, box, and cover plate. 
4 - 3way Light Switch (Two Location) Includes a 3way toggle switch, wiring, box, and cover plate. 
7 - Light Fixture (Standard Weight) Includes the wiring, a ceiling fan rated box or appropriate box, and the installation
1 - Replace existing kitchen ceiling fan
4 - Door Light Includes the wiring, and the installation of an owner provided basic door light.
1 - Closet Light Includes the wiring, an electrical box, and the installation of a closet rated light fixture.
6 - Lamp Holder Includes the wiring, electrical box, and the installation of a provided utility lamp holder fixture and lamp. 

3 - Smoke & Carbon monoxide detector Includes the wiring, electrical box, and the installation of a provided smoke & carbon monoxide detector
3 - Smoke  detector Includes",2020-11-16 05:00:00+00,-75.21938489031758,39.95135299112714
PP-2024-005324,2081 CARVER ST,EZ Bathroom & Kitchen Remodel,1-SHOWER/TUB  1-WC  1-LAV 1-KS,2024-04-10 04:00:00+00,-75.06474510986344,40.01555564091553
EP-2024-010801,1704 S 11TH ST,Addition and/or Alteration,"200 amp complete main service installation and relocate panel closer to the front basement wall x1

EMT 2 story 200 Amp x1

Doorbell x1

Square D Complete Home Surge Protective (CHSP) device x1

15 Amp AFCI Circuit x8

20 Amp AFCI Circuit x6

15 amp Duplex x18

20 amp Duplex  x3

15 amp GFCI x1

20 amp GFCI x1

Light Switch  x12

3way Light Switch x2

Light Fixture x5

Light Fixture  x7

Door Light x2

Lamp Holder x4

Smoke & Carbon monoxide detector x3

Smoke detector x3

FISH ONLY per 2017 NEC
",2025-02-04 05:00:00+00,-75.16359415980179,39.92841863096383
EP-2022-004462,878 N BUCKNELL ST,Addition and/or Alteration,"New wiring for Outlets to be installed to existing locations or new locations as detailed below: 
Front bedroom x 4 (there are 2 existing outlets in less than ideal locations.  New outlets will be wired and installed better in positioning around room:( 1 under left front window, 1 under right front window, 1 behind door swing in plaster and lathe wall, 1 next to door, The outlet we suggested to add between the closets is being eliminated fro the job unless one of the other locations makes more sense)
Middle bedroom x 3 (Remove the quad outlet and refeed the 2nd outlet, ADD 1 outlet on wall next to door to hallway, ADD 1 outlet on wall next to door to front bedroom)
Rear bedroom x 3 (1 on wall next to door, ADD 1 under side window, ADD 1 left of rear window at foot of bed)
Hallway x 1 rewire
Living room x 2 (rewire 1 bottom of steps ADD 1 left of front window solid wall)
Refrigerator x 1 Rewire new refrigerator outlet behind fridge and unplug from the cabinet
Dining room x 1 (rewire 1 on side solid wall)
Rear exterior ADD GFCI receptacle for rear yard
Basement x 1 GFCI for laundry(remove existing improperly installed wiring from junction box. 
Basement add GFCI for freezer
REPLACEMENT OF EXISTING OLD GFCI OUTLETS AND WIRING CORRECTIONS/UPDATE WITH AFCI PROTECTION: Replace the 3 kitchen counter GFCI outlets along the sink wall and properly splice the conductors and verify grounding for all outlets.
Listed Below:

15 amp Duplex x12

20 amp Duplex  x2

15 amp GFCI x1

20 amp GFCI x3

Replace a tamper-resistant AFCI/GFCI outlet and cover plate for indoor application. x5

Solid wall outlets x1

New Wiring for Light and Switch to be installed to rewire existing location, relocate or Add, including fixture support box and installation of owner provided fixture or reinstallation of existing fixture, as detailed below:
Front bedroom rewire switch and ceiling fan or light 
Middle bedroom rewire switch and ceiling fan or light
Rear bedroom rewire ",2022-05-06 04:00:00+00,-75.1756385498628,39.971590230816304
PP-2024-004249,997 N RANDOLPH ST,Alterations,"REPAIR/REPLACE MD, CT & FAI.",2024-03-22 04:00:00+00,-75.14583006960967,39.9693742710659
EP-2021-010473,2319 SANSOM ST,Addition and/or Alteration,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2021-09-21 04:00:00+00,-75.17900062016228,39.952100250922875
EP-2025-010007,5821 WALNUT ST,Addition and/or Alteration,"200 amp 30 ckt service pkg x1
Surge protection x1",2025-10-21 04:00:00+00,-75.23806495997903,39.95878323083095
EP-2020-007786,4831 LARCHWOOD AVE,Addition and/or Alteration,"4 - 20 Amp AFCI Circuit Includes and arc fault protected branch circuit to power devices, lights, and switches
8 - 15 Amp AFCI Circuit Includes and arc fault protected branch circuit to power devices, lights, and switches
1 - 20 Amp GFCI Circuit Includes and arc fault protected branch circuit to power devices, lights, and switches
16 - 15 amp Duplex Includes the Duplex style outlet, wiring,  box, and cover
2 - 20 amp Duplex Includes the Duplex style outlet, wiring,  box, and cover.
3 - 20 amp GFCI Includes the GFCI outlet NEMA 5-15R, wiring, box, and cover plate.
12 - Light Switch ( One Location) Includes a toggle switch, wiring, box, and cover plate.
2 - 3way Light Switch (Two Location) Includes a 3way toggle switch, wiring, box, and cover plate. 
7 - Light Fixture (Standard Weight) Includes the wiring, a ceiling fan rated box, and the installation of an owner provided basic Light fixture.
2 - Light Fixture (Lite weight) Includes the wiring, an electrical box, and the installation of an owner provided basic Light fixture.
2 - Door Light Includes the wiring, and the installation of an owner provided basic door light.
6 - Lamp Holder Includes the wiring, electrical box, and the installation of a provided utility lamp holder fixture and lamp. 
100amp 20ckt Homeline Service
Fish Only",2020-10-21 04:00:00+00,-75.21966786042759,39.951389221115534
EP-2025-002046,309 S AMERICAN ST,Addition and/or Alteration,200Amp Service,2025-03-14 04:00:00+00,-75.14605895003352,39.94430236084067
EP-2023-011292,1719 WEBSTER ST,Addition and/or Alteration,"Install color select-able 4 inch flat wafer recessed light x4

Diva C.L dimmer x2

Circuit Extension 10ft x1

Install outlets x2

Replace ceiling fan x1

FISH ONLY PER 2017 NEC",2023-11-27 05:00:00+00,-75.17156630970769,39.941186940931644
EP-2021-004520,1106 RISING SUN PL,Addition and/or Alteration,Installation of solar array in accordance with signed standard.,2021-06-15 04:00:00+00,-75.05414584963377,40.08182788052788
MP-2024-005984,1302 S 48TH ST,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES- For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. No penetrations to fire-rated assemblies

Replace Gas Furnace 95% efficient 60,000 KBTU, replacing existing with same type, NO OTHER WORK PERMITTED ON THIS PERMIT. No penetrations to fire-rated assemblies. NO NEW DUCTWORK proposed on ductwork or common areas
",2024-12-26 05:00:00+00,-75.21274263952564,39.94239161108243
MP-2022-006036,329 N SALFORD ST,Addition and/or Alterations,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. EACH HVAC UNIT TO BE SELF-CONTAINED WITHIN EACH DWELLING UNIT. NO PENETRATIONS OF RATED ASSEMBLIES. (Replace Gas Furnace 80% efficient, 70,000 KBTU).",2022-11-30 05:00:00+00,-75.2388374602791,39.96719606051084
EP-2024-008265,1430 SHUNK ST,Addition and/or Alteration,Fishing wire behind sheet rock for extra outlets and lights that are dedicated lines.,2024-08-23 04:00:00+00,-75.1723853994262,39.91814741119161
EP-2024-012335,2001 RICHMOND ST,New Construction,Electrical Permit for combo RP-2024-013386,2025-01-02 05:00:00+00,-75.12027705007287,39.969617450796896
EP-2021-004598,1928 N 8TH ST,New Construction,"Install 200a, 1ph, 120/240v main service. Install 40 circuit main breaker panel. Install all wiring throughout SFD. Install cable tv wiring as per 2014 nec",2021-05-06 04:00:00+00,-75.14781497056018,39.9811913513647
EP-2021-003831,143 W HUNTINGDON ST,New Construction,"Install 200a, 1ph main service. Install 3 gang  meter socket. Install all wiring throughout 2 apartments and common house panel. Install cable tv wiring  AS PER NEC 2018",2021-04-15 04:00:00+00,-75.13261671949309,39.98963001072847
EP-2021-011917,3010 JANNEY ST,New Construction,Install 200a main service. Install 40 circuit main breaker panel. Install all new wiring throughout single family dwelling. Install cable tv wiring  AS PER NEC 2014,2021-10-19 04:00:00+00,-75.11266576019783,39.98813111087425
EP-2022-011878,431 LEMONTE ST,New Construction,Install 200a 1ph main service. Install 40 circuit main breaker panel. Install all wiring throughout new construction SFD. Supply & Install all lighting. Install smokes & co detectors. Install tv wiring AS PER NEC 2017,2022-12-02 05:00:00+00,-75.22499793015102,40.03867154070292
PP-2022-006150,2543 TURNER ST,New Construction or Additions,"Install 6"" combo sewer with 1"" water service 

Install piping and finish work for the following fixtures 
basement- Toilet, lav, shower 
1st fl- Kitchen sink 
2nd fl- toilet, lav, tub, washer box 
3rd fl- toilet, 2 lavs, shower, wet bar 
AS PER PPC 2018",2022-04-21 04:00:00+00,-75.17700652008256,39.9803256007209
PP-2023-000942,2417 ASPEN ST,Alterations,INSTALL  3-WC   3-LAV   3-TUB/SHOWER   1-KS   1-LT   1-HWH,2023-01-20 05:00:00+00,-75.17736128027757,39.968945791031835
EP-2020-005215,432 N SALFORD ST,Addition and/or Alteration,"Rewire of entire house including, new 100 amp service",2020-07-27 04:00:00+00,-75.2388200698085,39.9687803010409
MP-2021-006275,1645 W CABOT ST,New Construction,Mechanical / Fuel Gas Permit for combo RP-2020-004250,2023-02-28 05:00:00+00,-75.16366838059106,39.97346019065913
EP-2020-005582,3310 S 20TH ST,New Construction,"ELECTRICAL: INSTALL NEW 200AMP SERVICE AND WIRE ENTIRE BUILDING WITH CIRCUITS FOR RECEPTS, SWITCHES, LIGHTS, FIXTURES, SMOKES, AND CO DETECTORS",2020-08-06 04:00:00+00,-75.1831939001338,39.90960807052666
EP-2025-003857,1836 S 6TH ST,Addition and/or Alteration,"Install 200 amps service, panel, switches, receptacles, light fixtures, rewire the entire property as per NEC code",2025-06-12 04:00:00+00,-75.15627618039876,39.925277151013596
EP-2021-006394,2456 TULIP ST,Addition and/or Alteration,"Reset lighs, switches, outlets, 1 panel . 100amps as per 2014 nec",2021-07-26 04:00:00+00,-75.12474025022502,39.980713970487955
EP-2021-005808,2440 N 5TH ST,Addition and/or Alteration,"100 amp service and panel, replace switches and receptacles, install dining room fixture, redistribute overloaded circuit,
ground fault receptacle and dedicated circuit 1st and 2nd floor, smoke/carbon detector
Install 10-year battery smoke detector and fishing as per 2014 nec",2021-06-08 04:00:00+00,-75.14121972049175,39.988568270708015
