permitnumber,address,typeofwork,approvedscopeofwork,permitissuedate,lng,lat
PP-2020-014857,2318 SANSOM ST,New Construction or Additions,"NEW CONSTRUCTION OF AN ATTACHED STRUCTURE FOR USE AS A SINGLE-FAMILY DWELLING WITH REAR GARAGE (W/2 ACCESSORY PARKING STALLS), REAR DECK, ROOF DECKS, AND ROOF DECK ACCESS STRUCTURE, PER APPROVED PLANS. 
TO BE SPRINKLERED AS PER NFPA 13 THROUGHOUT.
ADDITIONAL PERMITS REQUIRED FOR ANY FIRE SUPPRESSION WORK.
STRUCTURE TO COMPLY WITH ASCE 24-14 FOR FLOOD RESISTANT DESIGN AND CONSTRUCTION AND INCLUDE FLOOD VENTS, WET-FLOODPROOFING AND FLOOD RESISTANT BUILDING COMPONENTS, PER PLANS AND DOCUMENTS
ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.  

  **IBC 2018** ",2021-03-16 04:00:00+00,-75.1790358094807,39.95176044092154
PP-2024-012744,2124 E RUSH ST,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2024-006838,2025-04-30 04:00:00+00,-75.1181748903096,39.98717248054886
PP-2021-014538,625 CRESTVIEW RD,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2021-006967,2023-01-17 05:00:00+00,-75.23497886029634,40.05785145056955
PP-2022-011484,1220 N 2ND ST,New Construction or Additions,"PEX AND PVC THROUGHOUT 
3 WATER CLOSETS; 4 LAVS; 2 BATHTUBS; 1 SHOWER; 1 KITCHEN SINK; 1 WASHER BOX; 1 HOT WATER HEATER 
2 ROOF DRAINS; 1 SEWAGE EJECTOR; 1 SUMP PUMP; INTERIOR PLUMBING AND EXTERIOR PLUMBING
1"" RFSS; MAIN DRAINS AND CURB TRAPS ",2022-08-21 04:00:00+00,-75.13958446044742,39.970370531256066
ZP-2021-002696,6447 SPRAGUE ST,"New construction, addition, GFA change",PROPOSED REAR ADDITION TO AN SEMI-DETACHED 2 STORY STRUCTURE.  ADDITION TO BE AN ELEVATED DECK PERMITTING VEHICLE ACCESS TO GARAGE BENEATH DECK LEVEL.  SIZE AND LOCATION AS PER APPROVED PLAN. ,2021-04-13 13:57:07+00,-75.17336090943498,40.05590881098351
ZP-2022-003835,2821 KINGSTON ST,"New construction, addition, GFA change","FOR THE ERECTION OF AN ATTACHED STRUCTURE; ROOF DECK ACCESSED BY A PILOTHOUSE  WITH ACCESSORY PARKING GARAGE FOR ONE (1) CAR",2022-04-07 01:24:22+00,,
ZP-2022-014361,2442 NICHOLAS ST,"New construction, addition, GFA change",FOR THE ERECTION OF REAR ADDITION AT THIRD FLOOR LEVEL ABOVE AN EXISTING ATTACHED STRUCTURE. SIZE AND LOCATION AS SHOWN IN APPLICATION / PLAN,2023-03-06 20:49:48+00,-75.17538330948206,39.98030355054488
ZP-2025-007713,2159 N DARIEN ST,"New construction, addition, GFA change",FOR THE ERECTION OF AN ATTACHED STRUCTURE TO INCLUDE A ROOF DECK AND ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS SHOWN IN PLANS.,2025-08-14 20:22:27+00,-75.14724750004868,39.98466664054227
ZP-2021-012763,2040 N ORIANNA ST,"New construction, addition, GFA change","FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH A ROOF DECK, ACCESSED BY A ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS SHOWN IN THE APPLICATION/PLAN.",2021-10-12 13:55:35+00,-75.14014171945885,39.98203503111597
ZP-2024-006167,1029 MOUNTAIN ST,"New construction, addition, GFA change","For the erection of a third-floor addition over existing two story with roof deck and pilot house to an existing single family attached structure, size and location as shown on the plan.",2024-10-02 19:07:57+00,-75.16276758040021,39.92904016117583
997626,2901 PRINCETON AVE,"New construction, addition, GFA change",FOR THE ERECTION OF EIGHT (8) ACCESSORY STRUCTURES ON THE SAME LOT AS AN EXISTING DETACHED STRUCTURE. SIZE AND LOCATION AS SHOWN ON PLANS.,2021-05-21 14:15:08+00,-75.05273588045165,40.03996088070385
PP-2023-010856,2503 N HANCOCK ST,New Construction or Additions,"INSTALL 2) kitchen sinks, 2) toilets, 2) lavs, 2) tubs & 2) hot water tanks. Materials Pex tubing water lines and PVC drainage. ",2023-09-07 04:00:00+00,-75.13424335966938,39.98843217101928
PP-2021-023080,4743 FOWLER ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2021-013677,2023-11-27 05:00:00+00,-75.22819793048379,40.03397622108254
PP-2021-002726,1941 N LAWRENCE ST,New Construction or Additions,"FOR THE INSTALLATION OF HOUSE DRAINS, CURB TRAPS, AND FRESH AIR INLETS IN ACCORDANCE WITH 2018 PPC. ",2021-05-14 04:00:00+00,-75.14152548049844,39.980841180820725
PP-2020-004050,1718 S 22ND ST,New Construction or Additions,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-06-25 04:00:00+00,-75.18206313956216,39.930389950766575
ZP-2024-002293,2117 BELLMORE ST,"New construction, addition, GFA change","FOR THE ERECTION OF AN ATTACHED STRUCTURE AND ROOF DECK ACCESSED FROM THE THIRD FLOOR VIA EXTERIOR STAIRWAY. SIZE & LOCATION AS SHOWN ON THE APPLICATION/PLANS.
** NO ROOF DECK IN REQUIRED THIRD FLOOR SETBACK **",2024-06-19 13:44:09+00,-75.11459890044875,39.989055510960576
ZP-2024-011493,5660 GAINOR RD,"New construction, addition, GFA change","FOR THE ERECTION OF A REAR ADDITION AND DECK TO AN EXISTING STRUCTURE USED AS A SINGLE-FAMILY DWELLING; SIZE AND LOCATION AS PER APPLICATION/PLAN.",2024-12-23 14:44:35+00,-75.23712969983146,39.987804271235014
ZP-2021-000099,3324 MESSINA WAY,"New construction, addition, GFA change",FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH ROOF DECK TO BE ACCESSED BY THIRD FLOOR. SIZE AND LOCATION AS SHOWN IN PLAN. ,2021-03-11 16:10:35+00,-75.19083545014011,39.91007321112814
ZP-2024-010124,124 E SHARPNACK ST,"New construction, addition, GFA change","FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE, FOR USE AS A SINGLE-FAMILY HOUSEHOLD LIVING WITH TWO (2) ACCESSORY INTERIOR OFF-STREET PARKING SPACES ACCESSED VIA A SHARED DRIVEWAY FROM PARCEL A.",2024-10-01 13:50:08+00,-75.18174748032524,40.051219930547155
ZP-2025-008082,1217 S 16TH ST,"New construction, addition, GFA change",FOR THE ERECTION OF AN ATTACHED BUILDING TO INCLUDE ROOF DECK AND ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS SHOWN IN APPLICATION/PLANS,2025-08-27 13:41:32+00,-75.17040645990396,39.935658461344914
ZP-2024-009143,2425 CORAL ST,"New construction, addition, GFA change","For the erection of an attached structure (not to exceed 38 feet in height) that includes a full cellar, a recessed balcony at the third floor front, and a roof deck and pilot house above. Size and location per plans.",2024-10-23 02:59:55+00,-75.12840394037376,39.98369796104796
ZP-2024-001982,2140 N FRANKLIN ST,"New construction, addition, GFA change",FOR NEW CONSTRUCTION OF AN ATTACHED BUILDING.  SIZE AND LOCATION PER APPROVED PLAN.,2024-03-04 19:50:47+00,-75.14646998991286,39.98427732081478
ZP-2023-013874,1530 N LEITHGOW ST,"New construction, addition, GFA change","FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH ROOF DECK ACCESSED BY EXTERIOR OPEN STAIRWAY AND ROOFTOP SOLAR, SIZE AND LOCATION AS SHOWN ON THE PLANS.",2024-01-02 15:28:42+00,,
ZP-2021-000102,1505 S BAMBREY ST,"New construction, addition, GFA change",For the erection of an attached structure with roof deck and roof deck access structure. Size and location as shown on application/plan.,2021-01-14 14:05:52+00,-75.18727108051586,39.93394815083257
ZP-2022-012913,4435 SANSOM ST,"New construction, addition, GFA change",TO LEGALIZE THE ROOF DECK FACING IONIC ST. OF AN EXISTING ATTACHED BUILDING (SIZE AND LOCATION AS SHOWN ON PLANS).,2023-04-12 04:00:00+00,-75.21100688046292,39.956106770855115
ZP-2021-007069,2684 FOXGLOVE LN,"New construction, addition, GFA change",EXTENSION OF EXISTING REAR YARD DECK. SIZE AND LOCATION AS PER APPROVED PLAN,2021-09-09 14:17:11+00,-74.98625108031786,40.1208547606413
PP-2024-003172,1329 S CAPITOL ST,New Construction or Additions,Curb trap fresh air inlet footway 1 inch water service inspection ,2024-05-13 04:00:00+00,-75.17806846970703,39.934724540578266
PP-2025-010424,9229 ANDOVER RD,New Construction or Additions,"INSTALL/REPLACE 13 FIXTURES TO Three full bathroom and half, kitchen and laundry ",2025-08-14 04:00:00+00,-75.01037580045497,40.061031570852485
PP-2020-013874,2500 E TIOGA ST,New Construction or Additions,FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO (2) FAMILY HOUSEHOLD LIVING. BUILDING TO BE SPRINKERED IN ACCORDANCE WITH MINIMUM 13D SYSTEM.  PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.TOWNHOUSE #25- TYPE 2,2021-01-21 05:00:00+00,-75.09823219002979,39.990061931241826
ZP-2024-001594,239 BAINBRIDGE ST,"New construction, addition, GFA change",FOR THE REMOVAL OF A FRONT FOURTH STORY PORTION AND THE ERECTION OF A FOURTH STORY FRONT ADDITION TO AN EXISTING ATTACHED STRUCTURE. SIZE AND LOCATION AS SHOWN PER APPLICATION/PLAN.,2024-02-12 20:35:05+00,-75.14734961980926,39.94063980121331
PP-2021-007043,3414 PIETRO WAY,New Construction or Additions,"FOR THE INSTALLATION OF HOUSE DRAINS, CURB TRAPS, AND FRESH AIR INLETS IN ACCORDANCE WITH 2018 PPC. ",2021-11-29 05:00:00+00,-75.1900417601172,39.90896644135213
PP-2021-005461,3409 PIETRO WAY,New Construction or Additions,FOR THE INSTALLATION OF INTERIOR PLUMBING INSTALLATION IN ACCORDANCE WITH 2018 PPC.,2021-09-15 04:00:00+00,-75.18939755948604,39.90892395115036
ZP-2024-011725,1942 S CAMAC ST,"New construction, addition, GFA change","Permit for the erection of a rear second floor addition and for the erection of a roof deck (green roof terrace) above second floor with roof deck access structure to an existing single family attached structure, size and location per plan.",2025-07-09 04:00:00+00,-75.16640608059205,39.925372910711175
PP-2021-021276,819 N 19TH ST,New Construction or Additions,Plumbing Permit (Exterior Building Drainage) for combo RP-2021-016052,2025-05-08 04:00:00+00,-75.16791258037067,39.96948517082776
ZP-2023-004172,1138 W TIOGA ST,"New construction, addition, GFA change",For the addition of a roof deck and roof access structure above the second floor level of an existing attached structure. Size and location per plans.,2023-05-10 16:03:08+00,-75.14786049978306,40.005447290941
PP-2025-004538,2637 W STERNER ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2025-001911,2025-07-24 04:00:00+00,-75.1748538399523,39.997150000755056
PP-2023-012722,2067 E BIRCH ST,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2022-014095,2025-08-29 04:00:00+00,-75.11593083050242,39.98945999098839
PP-2025-004316,2128 E BIRCH ST,New Construction or Additions,Plumbing Permit (Exterior Building Drainage) for combo RP-2025-002362,2025-08-28 04:00:00+00,-75.11558872041692,39.988506581272134
PP-2025-009126,118 E HUNTINGDON ST,New Construction or Additions,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2025-07-16 04:00:00+00,-75.13027293004117,39.989010610997894
ZP-2020-006661,711 MERCY ST,"New construction, addition, GFA change",FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH ROOF DECK AND  ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS SHOWN IN SCANNED PLAN. FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING,2020-10-06 23:52:24+00,-75.15865035949352,39.92351911060297
ZP-2021-012110,614-16 RODMAN ST,"New construction, addition, GFA change",FOR THE ERECTION OF A ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE IN AN EXISTING THREE (3) STORY TWO (2) FAMILY DWELLING. SIZE AND LOCATION AS SHOWN IN THE APPLICATION/PLAN.,2021-11-10 21:34:16+00,-75.15292035943008,39.942359571147925
PP-2021-002104,1510 N BAILEY ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2020-015465,2021-06-29 04:00:00+00,-75.1788219203933,39.978982131203345
ZP-2024-003057,1230 W RUSH ST,"New construction, addition, GFA change",FOR THE ERECTION OF A REAR PORCH STRUCTURE.  SIZE AND LOCATION PER APPROVED PLAN.,2024-04-09 14:27:01+00,-75.15134089008073,39.99554967095306
PP-2023-006716,532 REED ST,New Construction or Additions,Installation of all interior supply and drain/Waste/Vent pipe to the 19 listed fixtures. ,2023-05-22 04:00:00+00,-75.1542267300347,39.93098970070907
ZP-2022-003467,4220 OSAGE AVE,"New construction, addition, GFA change",FOR THE PARTIAL DEMOLITION OF A REAR PORTION OF THE EXISTING ATTACHED STRUCTURE AND THE ERECTION OF AN ADDITION AT THE REAR. SIZE AND LOCATION AS SHOWN IN APPLICATION/PLANS.,2022-05-10 02:23:51+00,-75.20813752033551,39.950280590819425
