permitnumber,address,typeofwork,commercialorresidential,occupancytype,approvedscopeofwork,permitissuedate,lng,lat
EP-2021-011917,3010 JANNEY ST,New Construction,Residential,,Install 200a main service. Install 40 circuit main breaker panel. Install all new wiring throughout single family dwelling. Install cable tv wiring  AS PER NEC 2014,2021-10-19 04:00:00+00,-75.11266576019783,39.98813111087425
EP-2022-011878,431 LEMONTE ST,New Construction,Residential,,Install 200a 1ph main service. Install 40 circuit main breaker panel. Install all wiring throughout new construction SFD. Supply & Install all lighting. Install smokes & co detectors. Install tv wiring AS PER NEC 2017,2022-12-02 05:00:00+00,-75.22499793015102,40.03867154070292
PP-2022-006150,2543 TURNER ST,New Construction or Additions,Residential,,"Install 6"" combo sewer with 1"" water service 

Install piping and finish work for the following fixtures 
basement- Toilet, lav, shower 
1st fl- Kitchen sink 
2nd fl- toilet, lav, tub, washer box 
3rd fl- toilet, 2 lavs, shower, wet bar 
AS PER PPC 2018",2022-04-21 04:00:00+00,-75.17700652008256,39.9803256007209
MP-2021-006275,1645 W CABOT ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2020-004250,2023-02-28 05:00:00+00,-75.16366838059106,39.97346019065913
MP-2021-008876,2439 CECIL B MOORE AVE,New Construction,Commercial,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES- For the installation if New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. ",2022-06-02 04:00:00+00,-75.17523528963966,39.98111258051755
EP-2020-005582,3310 S 20TH ST,New Construction,Residential,,"ELECTRICAL: INSTALL NEW 200AMP SERVICE AND WIRE ENTIRE BUILDING WITH CIRCUITS FOR RECEPTS, SWITCHES, LIGHTS, FIXTURES, SMOKES, AND CO DETECTORS",2020-08-06 04:00:00+00,-75.1831939001338,39.90960807052666
RP-2024-004574,1330 E BERKS ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR SPRINKLER (13R) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. See SP-2024-000715 for excavation details.,2025-03-10 04:00:00+00,,
1047874,3025 REDNER ST,New Construction,Commercial,,INSTALL 200AMP SERVICE COMPLETE WITH GROUND AS PER 2014 NEC  ,2020-02-07 14:03:00+00,-75.18469195942016,39.980286270787765
RP-2024-002665,4050 CONSHOHOCKEN AVE,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF A FOUR (4) STORY LIGHT WOOD-FRAMED STRUCTURE OF TYPE V-B CONSTRUCTION WITH ROOF DECK AND ROOF DECK ACCESS STRUCTURE FOR USE AS TWO-FAMILY DWELLING (GROUP R-3) IN ACCORDANCE WITH 2018 IBC AND APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED WITH A MINIMUM OF A NFPA 13R AUTOMATIC SPRINKLER SYSTEM. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION SYSTEMS INSTALLATION. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O.'s, SUBMITTAL OF AIR BARRIER CHECKLISTS AND ENVELOPE TESTING CERTIFICATES IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. APPROVED PLANS AND DOCUMENTATION ON THE FOLLOWING APPLICATION: RP-2024-002553.",2024-03-28 04:00:00+00,-75.21287778965673,40.001192930634005
PP-2023-004724,2400 E VENANGO ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2022-011288,2024-01-26 05:00:00+00,-75.09661406015277,39.992419080504725
RP-2021-003616,2521 JEFFERSON ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),FOR THE ERECTION OF AN ATTACHED THREE STORY STRUCTURE OF TYPE VB CONSTRUCTION WITH A CELLAR AND A ROOF DECK WITH A ROOF ACCESS STRUUCTURE AS PER PLANS. FOR A SINGLE FAMILY DWELLING WITH LAYOUT AS SHOWN. ,2021-12-23 05:00:00+00,-75.17717191960679,39.978443441027494
RP-2021-000240,2215 E TIOGA ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR SPRINKLER (13D) WORK. (UNDERPINNNING IS  NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.

Permit Amendment 4-15-2021  Foundation revisions to change from precast foundations to poured concrete foundation",2021-03-09 05:00:00+00,-75.10059361968231,39.994529911327106
PP-2020-005207,1220 S 18TH ST,New Construction or Additions,Residential,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-08-04 04:00:00+00,-75.17391487006351,39.936096320526694
PP-2020-007191,2618 BRADDOCK ST,New Construction or Additions,Residential,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-10-06 04:00:00+00,-75.12483702974302,39.986681481272825
EP-2022-002992,2137 N RANDOLPH ST,New Construction,Residential,,Electrical Permit for combo RP-2022-000921,2022-08-01 04:00:00+00,-75.14281097052414,39.98390758081657
RP-2021-013852,7325 LIMEKILN PIKE,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED THREE STORY STRUCTURE WITH A THIRD FLOOR REAR DECK, FOR USE AS A SINGLE FAMILY HOUSEHOLD LIVING. BUILDING TO BE SPRINKLERED IN ACCORDANCE WITH NFPA 13D. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK.  **A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2018 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.** BLOWER DOOR TESTING SHALL BE PERFORMED IN ACCORDANCE WITH ASTM E 779 OR ASTM E 1827 BY AN APPROVED THIRD PARTY AGENCY
*ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.

HVAC INSTALLATION IN ACCORDANCE WITH EZ PERMIT STANDARD.",2022-04-12 04:00:00+00,,
MP-2020-005321,5501 MASTER ST,New Construction,Commercial,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES- For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. *ROOFTOP UNITS NOT ALLOWED ON THIS PERMIT UNLESS ON APPROVED BUILDING PLANS*",2020-12-28 05:00:00+00,-75.23137337981422,39.97385900053751
RP-2025-006792,2117 S 6TH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),FOR THE NEW CONSTRUCTION OF THREE (3) STORY BUILDING OF TYPE VB CONSTRUCTION WITH A ROOF DECK AND ROOF DECK ACCESS STRUCTURE FOR THE USE OF SINGLE FAMILY DWELLING. ALL WORK TO BE DONE PER APPROVED PLANS.,2025-09-11 04:00:00+00,-75.15653363955002,39.92210785112149
RP-2022-009802,1919 S 6TH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"NEW CONSTRUCTION OF A THREE (3) STORY BUILDING WITH CELLAR AND ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE. FOR A SINGLE-FAMILY HOUSEHOLSD LIVING.  AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED AS PER NFPA 13D MIN.  WORK TO INCLUDE UNDERPINNING TO BE MONITORED AT ALL TIMES BY A PA LICENSED PE. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**
",2022-11-15 05:00:00+00,-75.15601512943566,39.92449312135374
1041310,2731 CECIL B MOORE AVE,New Construction,Commercial,,"ON AN EXISTING 400 AMP SERVICE, REWIRE THROUGHOUT: SWITCHES, OUTLETS, LIGHTS, SMOKE/CO ALARMS AS PER 2017 NEC. (NORTH DIST) INSTALL FIRE ALARM SYSTEM AS PER NFPA 72. ",2020-02-12 20:09:00+00,-75.1799452403979,39.98172696126873
PP-2023-011854,2302 SHARSWOOD ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2023-004717,2024-04-24 04:00:00+00,-75.17419729989383,39.97698324055325
PP-2022-001398,6736 PECHIN ST,New Construction or Additions,Residential,,"Install new drains, and water lines for new plumbing for 3 toilets, 3 lavs, 2 tubs/showers, 1 kitchen sink, 1 washer, 1 water heater.  Install water and sewer from street into basement",2022-02-02 05:00:00+00,-75.2278936301489,40.03996101075871
RP-2021-015557,3883 RIDGE AVE,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13R) WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.",2022-06-08 04:00:00+00,-75.18709524055537,40.00457325053021
EP-2022-001562,2433 HARLAN ST,New Construction,Residential,,Electrical Permit for combo RP-2021-009701,2022-10-27 04:00:00+00,-75.17585318048926,39.977130661113165
RP-2020-007045,1843 HARTRANFT ST,New Construction (Stand Alone),Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13R) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. FOUNDATION ISSUED UNDER 998285/UNIT A103/SEE APPLICATION 1049161 FOR PLANS",2020-07-30 04:00:00+00,-75.18037121043261,39.90966000067249
1040107,519-21 E GIRARD AVE,New Construction,Commercial,,"FOR THE INSTALLATION OF MECHANICAL WORK TO INCLUDE REGISTERS/DIFFUSER, DUCTWORK, APPLIANCES, AND ALL OTHER WORK AS PER APPROVED PLANS. SEPARATE PERMIT REQUIRED FOR ANY ELECTRICAL AND PLUMBING WORK.",2020-02-25 15:38:00+00,-75.12812851944751,39.97133786080679
MP-2020-006690,323 GATES ST,New Construction,Residential,,"Install all new HVAC, new heater, new air conditioners.
Installing 20 vents and register covers.

Install new ductwork.

2 AC Condenser Units to be installed in the backyard.
3-ton to service the upstairs
2-ton to service the downstairs

80,000 BTU heater for upstairs
60,000 BTU heater for downstairs",2020-12-28 05:00:00+00,-75.22576146986285,40.03475374122159
RP-2021-016419,2129 ARCH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"AMEND PERMIT 4/24/2023 - ADDITION OF PEDESTAL PAVING SYSTEM AT ROOF DECKS AND NECESSARY ADJUSTMENTS TO ASSOCIATED FALL PROTECTION SYSTEMS

AMEND PERMIT 4/28/2022 - REVISION TO FOUNDATION

ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR SPRINKLER (13R) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.",2021-12-14 05:00:00+00,-75.17564368037904,39.956198580818906
FP-2022-000023,1923 N NEWKIRK ST,New Construction,Residential,,FOR INSTALLATION OF SPRINKLER SYSTEM PER NFPA 13D WITH 1-INCH COMBINED SERVICE LINE AS PER APPROVED PLANS.,2022-01-13 05:00:00+00,-75.17980830018887,39.98505160119723
EP-2021-001143,3915 RIDGE AVE,New Construction,Commercial,,"INSTALL A 600 AMP SERVICE, (9) GANG METER BANK, (8) 125 AMP PANELS & FEEDERS, (1) 100 AMP PANEL & FEEDER. WIRING THROUGHOUT COMMON AREAS AND EIGHT UNITS LIGHTS, SWITCHES, RECEPTACLES, MECHANICAL AND HVAC EQUIPMENT. INSTALL A NEW FIRE ALARM SYSTEM THROUGHOUT.  As per 2017 NEC and 2016 NFPA 72.",2021-02-18 05:00:00+00,-75.18722390998418,40.00546327058594
1044210,7133 TORRESDALE AVE,New Construction,Commercial,," INSTALLING A VISTA 32 FACP, 1 REMOTE ANNUNCIATOR, 4 PULLS, 5 SMOKES, 3 HORN STROBES, 1 STROBES. INSTALLING EMERGENCY LIGHTING: 3 COMBO EMERGENCY /EXIT LIGHT, 3 OUT DOOR REMOTE HEADS, 1 EMERGENCY UNIT IN BATHROOM PER NFPA 72 (EAST DIST) ",2020-02-19 14:00:00+00,-75.03751027013327,40.028647140545
PP-2021-025418,3116 BYBERRY RD,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2021-020255,2022-02-17 05:00:00+00,-74.97920045975705,40.099794391131944
FP-2022-001193,6144 GERMANTOWN AVE,New Construction,Commercial,,"INSTALL NEW 4"" FIRE SERVICE FROM STREET TO BUILDING
SUPPLY AND INSTALL ALL REQUIRED SPRINKLERS PER NFPA 13
SUPPLY AND INSTALL ALL REQUIIRED PIPING, HANGERS AND FITTINGS PER NFPA 13
SUPPLY AND INSTALL NEW 4"" CITY-APPROVED BACKFLOW PREVENTER
SUPPLY AND INSTALL STANDPIPES IN STAIR TOWERS
SUPPLY AND INSTALL NEW FIRE DEPARTMENT CONNECTION
SUPPLY AND INSTALL ALL REQUIRED BELLS, TAMPERS AND FLOW SWITCHES",2022-05-13 04:00:00+00,-75.18006578956626,40.041706370787786
FP-2024-001574,159 W CUMBERLAND ST,New Construction,Commercial,,"FOR THE INSTALLATION OF A TWO-INCH FIRE SERVICE LINE, TWO-INCH BACKFLOW PREVENTER AND FIRE SPRINKLER SYSTEM IN ACCORDANCE WITH APPROVED PLANS, HYDRAULIC CALCULATIONS AND NFPA 13.",2024-09-06 04:00:00+00,-75.13407035994726,39.98826842069413
FP-2021-002459,1929 N 7TH ST,New Construction,Commercial,," INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13R THROUGHOUT AN EXISTING STRUCTURE TO INCLUDE 2"" MAIN FIRE SERVICE LINE AND 2 1/2"" 350A DC WILKINS BACKFLOW PREVENTION ASSEMBLY. WORK ALSO TO INCLUDE THE INSTALLATION OF A STANDPIPE SYSTEM  AS PER APPROVED PLANS. **ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA**",2021-12-27 05:00:00+00,-75.14588622044386,39.98111454067786
1057378,830 WASHINGTON AVE,New Construction,Commercial,,FOR THE INSTALLATION OF A NFPA 13 SYSTEM SERVICED BY A TWO INCH FIRE SERVICE LINE WITH A BACK FLOW PREVENTER ASSEMBLY FOR A COMMERCIAL SPACE WITH A SINGLE FAMILY DWELLING ABOVE. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. FIRE SUPPRESSION SYSTEM TO BE INSTALLED IN ACCORDANCE WITH NFPA 13 STANDARDS.,2020-04-24 04:00:00+00,-75.15788401954484,39.93599755112444
EP-2021-014798,1999 E BOSTON ST,New Construction,Commercial,,"Install an addressable fire alarm system with: 1- panel, 5- sac panels, 22- smoke detectors, 12- pull stations, 20- tamper and flow modules, 98- horn/ strobes, 162- strobe only, and 4- duct detectors as per 2016 NFPA 72.",2022-01-15 05:00:00+00,-75.12970709966402,39.98483879075537
PP-2024-002741,468 DOMINO LN,New Construction or Additions,Commercial,,plumbing per plans,2024-05-09 04:00:00+00,-75.23364500037563,40.043155050912326
MP-2021-006843,650 FAIRMOUNT AVE,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2020-013254,2023-09-12 04:00:00+00,-75.14879128997022,39.96306154072496
FP-2021-000948,23 E DURHAM ST,New Construction,Commercial,,"FOR THE INSTALLATION OF A FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITH NFPA 13R, TO INCLUDE A TWO (2)-INCH DIAMETER SERVICE LINE, BACKFLOW PREVENTION ASSEMBLY, AND DRY SPRINKLER HEAD INSTALLATION. WORK TO BE DONE BY AN APPROVED TECHNICIAN AND PER APPROVED PLANS",2021-07-01 04:00:00+00,-75.18965892949518,40.0595025211029
FP-2024-000713,2301 SHARSWOOD ST,New Construction,Residential,,FOR INSTALLATION OF SPRINKLER SYSTEM PER NFPA 13D WITH 2-IN COMBINED SERVICE LINE AS PER APPROVED PLANS.,2024-04-12 04:00:00+00,-75.17402841021006,39.977326090758716
1052050,3250 S 76TH ST,New Construction,Commercial,, NEW JCI/SIMPLEX FIRE ALARM SYSTEM PER ATTACHED DRAWINGS PER NFPA 72 (WEST DIST) ,2020-04-30 04:00:00+00,-75.23213138039735,39.900608051232794
PP-2022-018274,1843 HARTRANFT ST,New Construction or Additions,Residential,,"1"" WD HOUSE DRAIN HOUSE TRAP FAI",2023-01-04 05:00:00+00,-75.18037121043261,39.90966000067249
EP-2024-010006,6174 RIDGE AVE,New Construction,Commercial,,"New Construction of 5 Story - 94 unit mixed use commercial / residential structure. New PECO incoming electrical service
consisting of (2) 1600A 208/120V 3Ph 4W services for meter-banks MB1 and MB2. 1000A 208/120V 3PH 4W service for house panels, 200A 208/120V 3Ph 4W service for Fire Pump / Jockey Pump and 1000A 208/120V 3Ph 4W Commercial space. (91) 125A 208/120V 1Ph 3W residential Panels, (3) 150A 208/120V 1Ph
3W Residential Panels. Power and lighting branch circuit wiring, devices, and LED lighting in residential areas, common areas, and egress lighting. Install rescue assistance system. ALL WORK IS TO BE DONE ACCORDING TO APPROVED DRAWINGS-2017 NEC.
**SEPARATE FIRE ALARM PERMIT REQ'D**",2024-12-17 05:00:00+00,-75.21751928956148,40.0351412406403
PP-2021-001718,2610 W FLETCHER ST,New Construction or Additions,Commercial,,run in new sewer line and pick up 7yard drains 4 storm manholes 1 outlet structure 2 end wall 15 roof drains were the only one doing the site work,2021-02-25 05:00:00+00,-75.17632684023245,39.98930096092042
1038784,224-30 W TULPEHOCKEN ST,New Construction,Commercial,," FIRE ALARM WORK: ADDING ADDITIONAL SMOKE DETECTORS PULL STATIONS, HORN STROBES, & HORNS TO BE TIED INTO EXISTING SYSTEM.(NORTH DIST.) ",2020-01-30 18:00:00+00,-75.18380082050967,40.03769488106691
RP-2024-006403,2411 N 11TH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. (UNDERPINNING NOT A PART OF THIS PERMIT). SEPARATE PERMITS REQUIRED FOR SPRINKLER (NFPA 13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.,2025-05-14 04:00:00+00,-75.1493757103181,39.98895123099456
RP-2021-015685,2110-12 CHERRY ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13R) WORK. UNDERPINNING IS PART OF THIS PERMIT. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY",2021-11-29 05:00:00+00,-75.17490673013141,39.95666699070674
PP-2025-000546,391 PORT ROYAL AVE,New Construction or Additions,Residential,,"Plumbing service, rough ins and fixtures for new construction 5,505 square foot single family home. EXTERIOR AND INTERIOR PLUMBING PER PPC",2025-10-08 04:00:00+00,-75.24695949046693,40.05307031072001
